人工知能じんこうちのうAIエーアイとは計算という	概念と
概念と	コンピュータという
コンピュータという	道具を
道具を	用いて
用いて	研究する
知能を	研究する
研究する	計算機科学の一分野を
計算機科学の一分野を	指す
指す	語
言語の	理解や
理解や	推論
推論	知的行動を
問題解決などの	知的行動を
知的行動を	代わって
人間に	代わって
代わって	行わせる
コンピューターに	行わせる
行わせる	技術
技術	される
または	される
計算機コンピュータによる	情報処理システムの
知的な	情報処理システムの
情報処理システムの	設計や
設計や	実現に関する
実現に関する	研究分野とも
研究分野とも	される
日本大百科全書ニッポニカの	解説で
解説で	述べている
情報工学者通信工学者の	佐藤理史は
佐藤理史は	述べている
次の	ように
ように	述べている
人間の	知的能力を
知的能力を	実現する
コンピュータ上で	実現する
実現する	技術ソフトウェアコンピュータシステム
様々な	技術ソフトウェアコンピュータシステム
応用例は	自然言語処理機械翻訳かな漢字変換構文解析等
自然言語処理機械翻訳かな漢字変換構文解析等	ある
専門家の	推論判断を
推論判断を	模倣する
模倣する	エキスパートシステム
エキスパートシステム	画像データを
画像データを	解析して
解析して	検出抽出したり
特定の	パターンを
パターンを	検出抽出したり
検出抽出したり	する
する	画像認識等が
画像認識等が	ある
1956年に	命名された
ダートマス会議で	命名された
ジョンマッカーシーにより	命名された
現在では	使われている
記号処理を	用いた
用いた	知能の
知能の	記述を
記述を	する
主体と	する
する	アプローチという
情報処理や	研究での
研究での	アプローチという
アプローチという	意味あいでも
意味あいでも	使われている
家庭用電気機械器具の	制御システムや
制御システムや	ゲームソフトの
ゲームソフトの	思考ルーチンも
思考ルーチンも	呼ばれることもある
こう	呼ばれることもある
プログラミング言語による	
	という
という	カウンセラーを
カウンセラーを	模倣した
模倣した	プログラム人工無脳が
プログラム人工無脳が	出されるが
しばしば	出されるが
引き合いに	出されるが
出されるが	なり
計算機に	させようという
人間の	専門家の
専門家の	役割を
役割を	させようという
させようという	エキスパートシステムと
エキスパートシステムと	呼ばれる
呼ばれる	研究情報処理システムの
研究情報処理システムの	実現は
実現は	なり
人間が	持つ
暗黙に	持つ
持つ	常識の
常識の	記述が
記述が	なり
問題と	なり
なり	困難視されている
実用への	利用が
利用が	困難視されている
人工的な	知能の
知能の	実現への
実現への	アプローチとしては
アプローチとしては	知られているが
ファジィ	理論や
理論や	ニューラルネットワークなどの
ニューラルネットワークなどの	ような
ような	アプローチも
アプローチも	知られているが
知られているが	人工知能であるGoodOldFashionedAIとの
従来の	人工知能であるGoodOldFashionedAIとの
人工知能であるGoodOldFashionedAIとの	差は
差は	ある
記述の	記号的明示性に
記号的明示性に	ある
その後	集めた
サポートベクターマシンが	集めた
注目を	集めた
また	ある
自らの	経験を
経験を	元に
元に	行う
学習を	行う
行う	強化学習という
強化学習という	手法も
手法も	ある
この	宇宙において
宇宙において	形質であるレイカーツワイルという
知性とは	強力な
最も	強力な
強力な	形質であるレイカーツワイルという
形質であるレイカーツワイルという	作業である
言葉通り	作業である
知性を	表現し
機械的に	表現し
表現し	実装するという
実装するという	ことは
ことは	作業である
極めて	重要な
重要な	作業である
2006年の	ディープラーニング深層学習の
ディープラーニング深層学習の	登場と
登場と	登場により
2010年代以降の	ビッグデータの
ビッグデータの	登場により
登場により	行った
一過性の	流行を
流行を	超えて
超えて	浸透して
社会に	浸透して
浸透して	行った
2016年から	2017年に
2017年に	かけて
かけて	導入した
ディープラーニングを	導入した
導入した	AIが
AIが	破り
完全情報ゲームである	囲碁などの
囲碁などの	トップ棋士
トップ棋士	プレイヤーも
さらに	不完全
不完全	情報ゲームである
情報ゲームである	ポーカーの
ポーカーの	プレイヤーも
世界トップクラスの	プレイヤーも
プレイヤーも	破り
破り	到達するなど
麻雀では	到達するなど
MicrosoftSuphxSuperPhoenixが	到達するなど
AIとして	初めて
初めて	到達するなど
十段に	到達するなど
到達するなど	なった
時代の	最先端技術と
最先端技術と	なった
第２次人工知能ブームでの	人工知能は
人工知能は	呼ばれ
機械学習と	呼ばれ
呼ばれ	ある
以下の	ような
ような	ものが
ものが	ある
一方	している例えばパラメータ調整コネクショニズムのシステム
計算知能CIは	している例えばパラメータ調整コネクショニズムのシステム
開発や	学習を
学習を	繰り返す
繰り返す	ことを
ことを	している例えばパラメータ調整コネクショニズムのシステム
基本と	している例えばパラメータ調整コネクショニズムのシステム
学習は	手法であり
経験に	基づく
基づく	手法であり
手法であり	関係している
非記号的AI	ない
美しく	ない
ない	AI
AI	ソフトコンピューティングと
ソフトコンピューティングと	関係している
その	手法としては
手法としては	ある
以下の	ものが
ものが	ある
これらを	統合した
統合した	知的システムを
知的システムを	作る
作る	試みも
試みも	なされている
ACTRでは	生成する
エキスパートの	推論ルールを
推論ルールを	ニューラル
統計的学習を	元に
元に	ニューラル
ニューラル	ネットワークや
ネットワークや	生成規則を
生成規則を	通して
通して	生成する
第3次人工知能ブームでは	出しており
ディープラーニングが	画像認識
画像認識	テキスト解析
テキスト解析	音声認識など
音声認識など	領域で
様々な	領域で
領域で	出しており
第2次人工知能ブームの	人工知能を
人工知能を	上回る
上回る	精度を
精度を	出しており
出しており	行われている
ディープラーニングの	研究が
研究が	行われている
盛んに	行われている
最近では	活躍している
DQN	CNN
CNN	RNN
RNN	GANと
GANと	様々な
様々な	ディープラーニングの
ディープラーニングの	派生が
派生が	でて
でて	活躍している
各分野で	活躍している
特に	見せている
GAN敵対的生成ネットワークは	加えて
ディープラーニングが	だしている
認識や	予測などの
予測などの	分野で
分野で	だしている
成果を	だしている
だしている	ことに
ことに	加えて
加えて	見せている
画像の	生成技術において
生成技術において	見せている
大きな	進化を
進化を	見せている
森正弥は	広がっており
これらの	成果を
成果を	背景に
背景に	広がっており
従来の	人工知能の
人工知能の	応用分野が
応用分野が	広がっており
広がっており	始まっていると
CreativeAIという	コンテンツ生成を
コンテンツ生成を	行っていく
行っていく	応用も
応用も	始まっていると
始まっていると	指摘している
AIの	構築が
構築が	試みられてきているが
長い	間
間	試みられてきているが
試みられてきているが	なってきた
シンボルグラウンディング問題と	フレーム問題の
フレーム問題の	解決が
解決が	なってきた
大きな	壁と
壁と	なってきた
17世紀初め	ルネデカルトは
ルネデカルトは	提唱した機械論
動物の	身体が
身体が	機械であると
ただの	機械であると
複雑な	機械であると
機械であると	提唱した機械論
ブレーズパスカルは	製作した
1642年	製作した
最初の	機械式計算機を
機械式計算機を	製作した
チャールズバベッジと	エイダラブレスは
エイダラブレスは	行った
プログラム可能な	機械式計算機の
機械式計算機の	開発を
開発を	行った
バートランドラッセルと	アルフレッドノースホワイトヘッドは
アルフレッドノースホワイトヘッドは	もたらした
数学原理を	出版し
出版し	もたらした
形式論理に	もたらした
革命を	もたらした
ウォーレンマカロックと	ウォルターピッツは
ウォルターピッツは	築いた
神経活動に	内在する
内在する	論理計算と
アイデアの	論理計算と
論理計算と	題する
題する	論文を
論文を	発表し
1943年に	発表し
発表し	築いた
ニューラルネットワークの	基礎を
基礎を	築いた
1950年代に	なると
なると	出始めた
AIに関して	出始めた
活発な	成果が
成果が	出始めた
ジョンマッカーシーは	作り出した
AIに関する	会議で
最初の	会議で
会議で	作り出した
人工知能という	用語を
用語を	作り出した
彼は	開発した
また	開発した
プログラミング言語を	開発した
知的ふるまいに関する	テストを
テストを	する
可能に	する
する	方法として
方法として	導入した
アランチューリングは	導入した
チューリングテストを	導入した
ジョセフワイゼンバウムはを	構築した
これは	おしゃべりロボットである
来談者中心療法を	行う
行う	おしゃべりロボットである
1956年に	行われた
行われた	使用され
ダートマス会議開催の	提案書において
提案書において	使用され
人類史上	用語として
用語として	使用され
初めて	使用され
使用され	創立された
新たな	分野として
分野として	創立された
1960年代と	1970年代の
1970年代の	間に
間に	示した
ジョエルモーゼスは	示した
プログラム中で	示した
積分問題での	記号的推論のパワーを
記号的推論のパワーを	示した
マービンミンスキーと	シーモアパパートは
シーモアパパートは	開発した
パーセプトロンを	出版して
出版して	単純な
単純な	ニューラルネットの
ニューラルネットの	限界を
限界を	示し
アランカルメラウアーは	開発した
プログラミング言語を	開発した
テッドショートリッフェは	示した
医学的診断と	療法における
療法における	ルールベースシステムを
ルールベースシステムを	構築し
構築し	示した
知識表現と	推論の
推論の	パワーを
パワーを	示した
これは	呼ばれることもある
最初の	エキスパートシステムと
エキスパートシステムと	呼ばれることもある
ハンスモラベックは	

障害物の	

ある	コースを
コースを	走行する
自律的に	走行する
走行する	コンピューター制御の
最初の	コンピューター制御の
コンピューター制御の	乗り物を
乗り物を	開発した
1980年代に	なった
ニューラルネットワークは	なった
バックプロパゲーションアルゴリズムによって	使われるように
広く	使われるように
使われるように	なった
また	提唱した
この	時代に
時代に	提唱した
ロドニーブルックスが	提唱した
知能には	必須との
身体が	必須との
必須との	学説身体性を
学説身体性を	提唱した
1990年代は	上げた
AIの	分野で
多くの	分野で
分野で	上げた
様々な	アプリケーションが
アプリケーションが	上げた
成果を	上げた
特に	敗れた
ボードゲームでは	目覚ましく
目覚ましく	開発し
1992年に	開発し
IBMは	開発し
世界チャンピオンに	匹敵する
匹敵する	バックギャモン専用コンピュータTDギャモンを
バックギャモン専用コンピュータTDギャモンを	開発し
開発し	打ち負かし
IBMの	チェス専用コンピュータディープブルーは
チェス専用コンピュータディープブルーは	打ち負かし
1997年5月に	打ち負かし
ガルリカスパロフを	打ち負かし
打ち負かし	敗れた
同年8月には	敗れた
オセロで	敗れた
日本電気の	オセロ専用コンピュータロジステロに
オセロ専用コンピュータロジステロに	敗れた
世界チャンピオンの	村上健が
村上健が	敗れた
国防高等研究計画局は	した
最初の	湾岸戦争において
湾岸戦争において	スケジューリングするのに
ユニットを	スケジューリングするのに
スケジューリングするのに	使い
AIを	使い
使い	上回った
これによって	省かれた
省かれた	コストが
コストが	上回った
1950年代以来の	AI研究への
AI研究への	投資全額を
政府の	投資全額を
投資全額を	上回った
上回った	ことを
ことを	した
明らかに	した
日本では	啓蒙し
甘利俊一日本学士院会員らが	啓蒙し
精力的に	啓蒙し
