概念と	コンピュータという
道具を	用いて
知能を	研究する
計算機科学の一分野を	指す
知的行動を	代わって
人間に	代わって
コンピューターに	行わせる
技術	される
設計や	実現に関する
研究分野とも	される
解説で	述べている
佐藤理史は	述べている
次の	ように
知的能力を	実現する
コンピュータ上で	実現する
自然言語処理機械翻訳かな漢字変換構文解析等	ある
推論判断を	模倣する
画像データを	解析して
解析して	検出抽出したり
パターンを	検出抽出したり
検出抽出したり	する
画像認識等が	ある
1956年に	命名された
ダートマス会議で	命名された
ジョンマッカーシーにより	命名された
現在では	使われている
記号処理を	用いた
記述を	する
主体と	する
研究での	アプローチという
意味あいでも	使われている
思考ルーチンも	呼ばれることもある
カウンセラーを	模倣した
プログラム人工無脳が	出されるが
引き合いに	出されるが
計算機に	させようという
役割を	させようという
エキスパートシステムと	呼ばれる
実現は	なり
人間が	持つ
暗黙に	持つ
記述が	なり
問題と	なり
利用が	困難視されている
実現への	アプローチとしては
アプローチとしては	知られているが
ニューラルネットワークなどの	ような
アプローチも	知られているが
従来の	人工知能であるGoodOldFashionedAIとの
差は	ある
記号的明示性に	ある
その後	集めた
サポートベクターマシンが	集めた
注目を	集めた
元に	行う
学習を	行う
手法も	ある
宇宙において	形質であるレイカーツワイルという
知性とは	強力な
形質であるレイカーツワイルという	作業である
言葉通り	作業である
知性を	表現し
機械的に	表現し
表現し	実装するという
ことは	作業である
登場と	登場により
ビッグデータの	登場により
登場により	行った
流行を	超えて
社会に	浸透して
浸透して	行った
2017年に	かけて
ディープラーニングを	導入した
AIが	破り
不完全	情報ゲームである
プレイヤーも	破り
麻雀では	到達するなど
MicrosoftSuphxSuperPhoenixが	到達するなど
十段に	到達するなど
到達するなど	なった
最先端技術と	なった
人工知能は	呼ばれ
機械学習と	呼ばれ
以下の	ような
ものが	ある
計算知能CIは	している例えばパラメータ調整コネクショニズムのシステム
学習を	繰り返す
ことを	している例えばパラメータ調整コネクショニズムのシステム
基本と	している例えばパラメータ調整コネクショニズムのシステム
学習は	手法であり
経験に	基づく
手法であり	関係している
ソフトコンピューティングと	関係している
手法としては	ある
ものが	ある
これらを	統合した
知的システムを	作る
試みも	なされている
ACTRでは	生成する
生成規則を	通して
第3次人工知能ブームでは	出しており
領域で	出しており
人工知能を	上回る
精度を	出しており
